       x            y            z        r
  527.297200   430.219848     0.000000  20.0000
  552.020274   398.052045     0.000000  20.0000
  347.683882   464.670852     0.000000  20.0000
  346.385553   360.058512     0.000000  20.0000
  469.680094   431.094903     0.000000  20.0000
  366.723569   429.029328     0.000000  20.0000
  498.133757   402.214698     0.000000  20.0000
  407.543361   426.639115     0.000000  20.0000
  402.671582   278.415060     0.000000  20.0000
  459.637872   583.002302     0.000000  20.0000
  345.505386   588.503091     0.000000  20.0000
  317.400920   558.009621     0.000000  20.0000
  374.582538   389.023638     0.000000  20.0000
  307.367924   296.327304     0.000000  20.0000
  324.952815   499.007231     0.000000  20.0000
  513.970331   497.875552     0.000000  20.0000
  267.754314   446.261242     0.000000  20.0000
  553.842373   506.899793     0.000000  20.0000
  269.490166   374.079217     0.000000  20.0000
  467.555599   487.666890     0.000000  20.0000
  456.413237   393.132428     0.000000  20.0000
  462.980004   317.461154     0.000000  20.0000
  286.020652   481.943352     0.000000  20.0000
  496.921146   566.482059     0.000000  20.0000
  300.592985   337.559294     0.000000  20.0000
  288.072289   410.777281     0.000000  20.0000
  293.029250   525.199551     0.000000  20.0000
  322.141292   258.163517     0.000000  20.0000
  417.037134   493.736746     0.000000  20.0000
  355.625214   280.538389     0.000000  20.0000
  398.554713   529.491671     0.000000  20.0000
  442.519188   283.017334     0.000000  20.0000
  379.860306   245.302704     0.000000  20.0000
  392.951883   350.566937     0.000000  20.0000
  571.831115   435.252053     0.000000  20.0000
  309.867008   376.489382     0.000000  20.0000
  527.062941   537.037269     0.000000  20.0000
  497.371529   460.398399     0.000000  20.0000
  308.122327   448.402352     0.000000  20.0000
  444.896457   523.168655     0.000000  20.0000
  370.902287   498.181673     0.000000  20.0000
  502.519871   327.682916     0.000000  20.0000
  425.203223   561.597717     0.000000  20.0000
  419.828117   320.829680     0.000000  20.0000
  443.340741   353.313728     0.000000  20.0000
  485.045786   363.880927     0.000000  20.0000
  391.060599   463.100456     0.000000  20.0000
  542.595750   329.627843     0.000000  20.0000
  542.804048   467.635519     0.000000  20.0000
  490.331309   287.589424     0.000000  20.0000
  339.929693   320.411516     0.000000  20.0000
  438.372194   456.894226     0.000000  20.0000
  380.076457   312.340177     0.000000  20.0000
  485.355174   527.266200     0.000000  20.0000
  329.477991   412.034397     0.000000  20.0000
  348.041544   531.792340     0.000000  20.0000
  415.378737   386.524130     0.000000  20.0000
  524.971509   368.512029     0.000000  20.0000
  376.064807   562.586940     0.000000  20.0000
  256.225735   508.937274     0.000000  20.0000
